name,osm_id,latitude,longitude,accessible
Châtillon-Montrouge,{12388528},48.810815,2.3016518,False
GARE DE MITRY CLAYE,{3580945699},48.9758874,2.642312,True
Lieusaint - Moissy,{3458211393},48.6283993,2.5696586,False
Malesherbes,"{243510678, 818899103}",48.8825292,2.3110507,False
Pernety,{264712433},48.8339551,2.3180764,False
Saint-Ouen-l'Aumône Liesse,{3497428394},49.0340228,2.1282575,False
Europe,{1981222779},48.8787548,2.3223081,False
LES FLANADES,{3008961692},48.9766606,2.3775846,True
Rosny - Bois-Perrier,{243050251},48.8825092,2.4812324,False
Athis-Mons,{3484229325},48.712617,2.4036055,False
Thomery,{3571536293},48.3943179,2.7640013,False
Trappes,{290884174},48.77477,2.0064226,False
GARE D'ERMONT EAUBONNE,{1903641987},48.980552,2.271356,True
LES MOULINEAUX,{1494071318},48.8214549,2.2510185,True
MONTSOURIS,{1773529788},48.8214912,2.3334117,True
Boulogne - Jean Jaurès,{264539964},48.8420002,2.2387333,False
Versailles Chantiers,{3497428295},48.7954436,2.1360379,False
MEUDON LA FORET,{52648435},48.7834346,2.2253169,True
Colombes,{91751890},48.9236659,2.259601,False
Château de Vincennes,{241928757},48.8444696,2.4398829,False
Alma-Marceau,{260769132},48.8649686,2.3006256,False
Voltaire,{256895321},48.858158,2.3798044,False
Belleville,{243493845},48.8720463,2.3769849,False
Saint-Cyr,{3535138452},48.7988184,2.0733739,False
Grands Boulevards,{256897079},48.8715206,2.3432861,False
LES MILONS,{318534519},48.8498416,2.2212274,True
Place des Fêtes,{2066461402},48.8767737,2.3935636,False
Brunoy,{575955254},48.6990338,2.5066895,False
Monnerville,{3491814893},48.3484915,2.0320595,False
Malakoff - Rue Étienne Dolet,{12388534},48.8153367,2.2970255,False
Écouen — Ézanville,{2515586521},49.0229548,2.3626417,False
Hoche,{264772862},48.891198,2.4025577,False
Porte Dorée,{264482297},48.8354584,2.4063451,True
GARE DE CHAMPIGNY,{1351396198},48.8074477,2.5091697,True
GARE DE SUCY BONNEUIL,{786283681},48.7711206,2.5081985,True
GARE DU PARC DE ST MAUR,{739096643},48.805247,2.486022,True
GARE DE LA VARENNE CHENNEVIERES,{1354328627},48.794489,2.513307,True
Sèvres-Babylone,{261162833},48.8514587,2.3267159,False
Triel-sur-Seine,{90710882},48.9810225,2.0060555,False
COSMONAUTES,{2283276656},48.9317455,2.3781952,True
Bourron-Marlotte,{92782067},48.3326884,2.6924552,False
Longjumeau,{3491814395},48.7021485,2.2944841,False
La Varenne - Chennevières - sortie 1 avenue du Mesnil,{1864937379},48.794237,2.5131134,False
Iéna,{260767422},48.8646725,2.2937783,False
GARE D'EPINAY SUR SEINE,{3496470094},48.9541894,2.3024122,True
Campo-Formio,{265055750},48.8356584,2.3588519,False
Saint-Denis,{2507487838},48.935061,2.3454394,False
Péreire,{243510680},48.8847948,2.2982623,False
GARE DE BONDY,{1468452896},48.894103,2.4792543,True
Auguste Delaune,{2285335352},48.9066597,2.4605016,True
Ivry-sur-Seine,{3530983828},48.8144007,2.3911273,False
Le Kremlin-Bicêtre,{318537042},48.810328,2.3622359,False
SEVERINE,{2799009882},48.8675037,2.4089847,True
La Muette,{260767424},48.8580816,2.2741958,False
La Motte-Picquet - Grenelle,{34909170},48.8487832,2.2988351,False
LE VILLAGE,{1810231879},48.933378,2.2948343,True
La Barre-Ormesson,{57836761},48.9662218,2.3167101,False
LE LUTH,{1810231876},48.9318565,2.2888637,True
Ris-Orangis,{3533478899},48.6593057,2.4143688,False
Château Rouge,{264507100},48.8873363,2.3497063,False
Garancières - La Queue,{912942221},48.8104516,1.7646882,False
Vigneux-sur-Seine,{475561228},48.7082768,2.4144646,False
PORTE DE VANVES,{2023231831},48.827676,2.3054796,True
Pont de Rungis Aéroport d'Orly,{3531059798},48.7481834,2.3728756,False
GARE DE LOZERE,{117933819},48.7060013,2.2116884,True
GARE DU VESINET CENTRE,{1806123617},48.8900879,2.1345954,True
GARE DE LUZARCHES,{415313667},49.117305,2.4205557,True
Mairie de Saint-Ouen,"{3530939195, 313428413}",48.9118944,2.3339725,False
La Défense - Grande Arche,"{137533248, 27117113, 471537554}",48.892892,2.2376272,False
Chaponval,{186762859},49.0694825,2.1423781,False
MAIRIE DE PIERREFITTE,{3008961764},48.9633917,2.3599194,True
Les Agnettes,{269337980},48.9231172,2.2862019,False
COUR ST EMILION,{3146958064},48.8334522,2.385662,True
Anatole France,{255000799},48.8921077,2.2852229,False
Maubert Mutualité,{260078619},48.8499051,2.348746,False
Issy Val de Seine,{2367372622},48.8296241,2.2634899,True
GARE DE BOIS COLOMBES,{1545044391},48.9141353,2.27174,True
Pont de l'Alma,{3414141480},48.8625032,2.2999987,False
Ballancourt-sur-Essonne,{247800932},48.5321637,2.3711049,False
STADE CHARLETY - PORTE DE GENTILLY,{264514896},48.8552968,2.3475476,True
Vaires - Torcy,{3492939682},48.8751766,2.6376671,False
Combs-la-Ville - Quincy,{475558623},48.6675439,2.5478602,False
Michel Bizot,{264482226},48.8371074,2.4024837,False
Sully - Morland,{264785951},48.851263,2.3622044,False
JEAN MOULIN,{1775401068},48.824703,2.3188779,True
GARE DE MAREIL MARLY,{2670874946},48.8807466,2.0790676,True
Beynes,{699691240},48.8593963,1.8757748,False
GARE D'ASNIERES,{249524554},48.9162246,2.2948689,True
Gare des Coquetiers,{252133924},48.8924913,2.4993898,True
Viroflay Rive Droite,{3546739002},48.8054869,2.1683148,False
CHARLES DE GAULLE ETOILE,{1731763792},48.8740658,2.2951493,True
