LA DEFENSE,Puteaux,48.8930846,2.2376319
GARE DU PARC DE ST MAUR,Saint-Maur-des-Fossés,48.805247,2.486022
GARE DE FONTAINE MICHALON,Antony,48.7435241,2.2965843
Bibliothèque François Mitterrand,Paris,48.8297207,2.3770491
GARE DE GENNEVILLIERS,Gennevilliers,48.9336959,2.3075627
GARE DE FREINVILLE SEVRAN,Sevran,48.9265328,2.5191432
LES CHOLETTES,Sarcelles,48.9774873,2.3721883
GARE DE BUSSY ST GEORGES,Bussy-Saint-Georges,48.8366482,2.7098771
LAMARTINE,Villejuif,48.7836685,2.3670905
GARE DE ROBINSON,Sceaux,48.7800909,2.2812665
GARE DE GAGNY,Gagny,48.8837446,2.5254233
DELPHINE SEYRIG,Pantin,48.8938409,2.3977511
GARE DE RUEIL MALMAISON,Rueil-Malmaison,48.887235,2.1715571
GARE DE LOZERE,Palaiseau,48.7060013,2.2116884
ST MICHEL NOTRE DAME,Paris,48.8534806,2.3454363
Châtelet,Paris,48.8587782,2.3474106
EPINAY - ORGEMONT,Épinay-sur-Seine,48.9554603,2.2954174
GARE DE MASSY PALAISEAU,Massy,48.7259781,2.2582963
Pont de Bezons,Bezons,48.9231343,2.2176095
SUZANNE VALADON,Pierrefitte-sur-Seine,48.959119,2.3587412
GARE DE SEVRAN BEAUDOTTES,Sevran,48.9475609,2.5247252
GARE DE RAMBOUILLET,Rambouillet,48.6437409,1.8321116
Aéroport CDG Terminal 3 - Roissypole,Tremblay-en-France,49.0098755,2.5613951
GARE DE LA CROIX DE BERNY FRESNES,Antony,48.7624762,2.3046232
Funiculaire Gare Haute,Paris,48.8856581,2.3425549
Bobigny - Pablo Picasso,Bobigny,48.9064052,2.4491919
Baron Le Roy,Paris,48.8303724,2.3933647
GEORGES BRASSENS,Paris,48.8298202,2.2956776
MAIRIE DE PIERREFITTE,Pierrefitte-sur-Seine,48.9633642,2.3599441
PORTE DE RUNGIS,Rungis,48.7526422,2.3555827
CHATELET LES HALLES,Paris,48.8621487,2.3467922
PABLO NERUDA,Villetaneuse,48.9567618,2.3429559
ROBERT SCHUMAN (PARC SILIC CENTRE),Rungis,48.7460606,2.3532625
GARE DE TORCY MARNE LA VALLEE,Torcy,48.839553,2.6543891
CHEMIN DES RENIERS,Villeneuve-la-Garenne,48.934591,2.3215237
MEUDON SUR SEINE,Meudon,48.8191867,2.2391994
POTERNE DES PEUPLIERS,Paris,48.8208539,2.350711
COLETTE BESSON,Paris,48.8984864,2.3636518
GUYNEMER,Saint-Denis,48.9481751,2.3574853
GARE DE ST MAUR CRETEIL,Saint-Maur-des-Fossés,48.806815,2.471445
GARE DE VILLEPARISIS MITRY LE NEUF,Mitry-Mory,48.9530327,2.6025846
GARE DE VERSAILLES CHATEAU - RIVE GAUCHE,Versailles,48.8002576,2.129185
COSMONAUTES,Saint-Denis,48.9317159,2.3782024
MONTSOURIS,Paris,48.8214912,2.3334117
LES PAVILLONS SOUS BOIS T4,Les Pavillons-sous-Bois,48.9026648,2.5119616
AUBER,Paris,48.8723107,2.3297051
MADELEINE,Paris,48.8693906,2.3253852
DANTON,La Courneuve,48.9226717,2.4066284
AVENUE DE FRANCE,Paris,48.8255509,2.3811107
GARE D'OZOIR LA FERRIERE,Ozoir-la-Ferrière,48.7707933,2.690236
LES COTEAUX,Saint-Cloud,48.8573704,2.2205967
LES FAUVELLES,La Garenne-Colombes,48.9027775,2.239542
Porte de Charenton,Paris,48.8322556,2.3989811
BUTTE PINSON,Pierrefitte-sur-Seine,48.9736206,2.3660968
HENRI FARMAN,Paris,48.8347682,2.270721
PORTE D'AUBERVILLIERS,Paris,48.898598,2.3690499
Robert Wagner,Vélizy-Villacoublay,48.7850087,2.1788055
Parc Pr,Roissy-en-France,49.0089821,2.5447882
Aéroport Orly Ouest,Orly,48.7296445,2.3600059
Olympiades,Paris,48.8269104,2.3661972
MAIRIE,Villeneuve-la-Garenne,48.9354372,2.3322231
PARC DE ST CLOUD,Saint-Cloud,48.843015,2.221779
STADE CHARLETY - PORTE DE GENTILLY,Paris,48.8194847,2.3457695
HOPITAL ROBERT DEBRE,Paris,48.8794405,2.4012509
MARIE DE MIRIBEL,Paris,48.8587125,2.409689
GARE DE LA VARENNE CHENNEVIERES,Saint-Maur-des-Fossés,48.794489,2.513307
Porte de L'Essonne,Athis-Mons,48.7148721,2.3721698
LES MOBILES,Épinay-sur-Seine,48.9499551,2.3287373
PORTE DE LA VILLETTE,Paris,48.8974039,2.385591
CDG Terminal 2 - TGV,Tremblay-en-France,49.004744,2.5715294
GARE D'ERMONT EAUBONNE,Ermont,48.980552,2.271356
Balard,Paris,48.8363894,2.2784
Gare de Sartrouville,Sartrouville,48.9378067,2.1572739
L'ILE ST DENIS,L'Île-Saint-Denis,48.9357361,2.3394701
MOULIN VERT,Vitry-sur-Seine,48.7720542,2.3677924
BERCY,Paris,48.8401549,2.3799474
PORTE DE VANVES,Paris,48.8274136,2.3066496
BAUDELAIRE,Saint-Denis,48.9423184,2.3567614
JACQUES PREVERT,Pierrefitte-sur-Seine,48.9708739,2.3660268
BLUMENTHAL,Épinay-sur-Seine,48.9474349,2.3409067
GARE DE SURESNES MONT VALERIEN,Suresnes,48.8715902,2.2209422
NATION,Paris,48.8480576,2.3960523
GARE DE TOURNAN,Tournan-en-Brie,48.739528,2.7587137
COUR ST EMILION,Paris,48.8334522,2.385662
DIVISION LECLERC,Châtillon,48.794443,2.2726199
PAUL ELUARD,Saint-Denis,48.9398833,2.3452167
CHARLES DE GAULLE ETOILE,Paris,48.8743566,2.2955149
PORT ROYAL,Paris,48.8399194,2.3370971
HAUSSMANN ST LAZARE,Paris,48.8747218,2.3271274
DRANCY AVENIR,Drancy,48.9177903,2.4176934
BELVEDERE,Suresnes,48.8759807,2.2259596
MUSEE DE SEVRES,Sèvres,48.8287506,2.2253263
Gare d'Houilles - Carrières sur Seine,Houilles,48.9203471,2.1854282
Les Lochères,Sarcelles,48.9785164,2.3849846
JACQUES HENRI LARTIGUE,Issy-les-Moulineaux,48.8247756,2.2605181
HOTEL DE VILLE DE BOBIGNY,Bobigny,48.9065183,2.4439977
LE LUTH,Gennevilliers,48.9318565,2.2888637
PONT DE BONDY,Noisy-le-Sec,48.9046948,2.469892
ADRIENNE BOLLAND,Paris,48.8720947,2.4086247
ROSA PARKS,Paris,48.8975528,2.3733886
INOVEL PARC NORD,Vélizy-Villacoublay,48.7807765,2.207746
GILBERT BONNEMAISON,Épinay-sur-Seine,48.9554364,2.3078706
Funiculaire Gare Basse,Paris,48.8846923,2.3426644
PETIT PIERREFITTE,Pierrefitte-sur-Seine,48.9526282,2.3580013
PYRAMIDES,Paris,48.8658665,2.3343872
CHARLEBOURG,La Garenne-Colombes,48.9076596,2.238314
PARC PIERRE LAGRAVERE,Colombes,48.9178366,2.2243579
DOMAINE CHERIOUX,Chevilly-Larue,48.7785412,2.3673891
Parc Px,Roissy-en-France,49.0100659,2.5706567
GARE DE BOURG LA REINE,Bourg-la-Reine,48.7803647,2.3123769
PORTE D'IVRY,Paris,48.8216697,2.3693224
ROSE BERTIN,Épinay-sur-Seine,48.9531223,2.315503
GARE D'AULNAY SOUS BOIS,Aulnay-sous-Bois,48.9322068,2.4950402
GARE DE FONTENAY AUX ROSES,Fontenay-aux-Roses,48.7876464,2.2922284
VICTOR BASCH,Colombes,48.9139284,2.2297142
DIDOT,Paris,48.825938,2.3133067
PORTE DE MONTREUIL,Paris,48.8534759,2.4105242
PIERRE DE GEYTER,Saint-Denis,48.9320714,2.3526931
GARE DE LYON,Paris,48.8448369,2.3734794
JACQUELINE AURIOL,Colombes,48.9106351,2.2342274
Gare Allée de la Tour Rendez-Vous,Villemomble,48.897132,2.5064295
ST DENIS - PORTE DE PARIS,Saint-Denis,48.9301278,2.3563841
JEAN ROSTAND,Bobigny,48.9078496,2.4543566
Gare de Cergy Préfecture,Cergy,49.036555,2.079414
CITE UNIVERSITAIRE,Paris,48.8205877,2.3390071
GARE D'ANTONY,Antony,48.7549273,2.3009651
BASILIQUE DE SAINT-DENIS,Saint-Denis,48.9380021,2.3608471
LA COURNEUVE 8 MAI 1945,La Courneuve,48.9207587,2.4107677
BRIMBORION,Sèvres,48.8221655,2.2313906
PORTE D'ITALIE,Paris,48.8191044,2.359701
PORTE DE BAGNOLET,Paris,48.8645515,2.4088118
GARE DE FONTENAY SOUS BOIS,Fontenay-sous-Bois,48.8437078,2.4637379
COEUR D'ORLY,Orly,48.7297182,2.3681832
SEVERINE,Paris,48.8675037,2.4089847
GARE DE BAGNEUX,Cachan,48.7932411,2.3210038
Cité Universitaire,Paris,48.8203321,2.3386615
DELAUNAY - BELLEVILLE,Saint-Denis,48.9454984,2.3472881
JEAN VILAR,Villetaneuse,48.951734,2.3430223
Gare de Cergy St Christophe,Cergy,49.0496017,2.0346919
GARE DE NOISY LE ROI,Noisy-le-Roi,48.8413126,2.0614599
GARE DE ST GERMAIN EN LAYE BEL AIR FOURQUEUX,Saint-Germain-en-Laye,48.8946352,2.0699414
PORTE D'ORLEANS,Paris,48.8229245,2.3256357
AUGUSTE PERRET (CIMETIERE PARISIEN),Chevilly-Larue,48.7633306,2.3676836
GARE D'EMERAINVILLE PONTAULT COMBAULT,Pontault-Combault,48.8061102,2.6184322
GARE DE MONTFORT L'AMAURY MERE,Méré,48.8027385,1.8154817
LA FERME,Bobigny,48.9096771,2.4374886
Porte de Choisy,Paris,48.8201086,2.3647992
SOLEIL LEVANT,Clamart,48.7902343,2.2632381
Bretagne,Chevilly-Larue,48.7681563,2.3680137
HELENE BOUCHER (ORLYTECH),Paray-Vieille-Poste,48.7399463,2.3600613
GARE DE MASSY VERRIERES,Massy,48.7347347,2.2732658
GARE DE BOUFFEMONT MOISSELLES,Bouffémont,49.0454398,2.3228306
GARE DE VERSAILLES RIVE DROITE,Versailles,48.8095879,2.1357285
VAUBAN,Châtillon,48.8071476,2.294042
VELIZY 2,Vélizy-Villacoublay,48.7849806,2.2198845
PONT GARIGLIANO - HOPITAL EUROPEEN GEORGE POMPIDOU,Paris,48.8393018,2.2706619
ELLA FITZGERALD - GRANDS MOULINS DE PANTIN,Paris,48.8974255,2.3949836
PARC ANDRE MALRAUX,Châtillon,48.7998644,2.2819269
GARE DE LA COURNEUVE AUBERVILLIERS,La Courneuve,48.9244564,2.386533
GARE DE CRETEIL POMPADOUR,Créteil,48.7715403,2.4352763
MAGENTA,Paris,48.8800561,2.3581041
Georges Pompidou,Clamart,48.7848877,2.2371371
Louvois,Vélizy-Villacoublay,48.7799876,2.1976772
MEUDON LA FORET,Meudon,48.7834346,2.2253169
PLACE DE LA LOGISTIQUE (PLATEFORME SOGARIS),Rungis,48.7523925,2.3610206
SAARINEN (PARC SILIC NORD),Rungis,48.7500475,2.3542986
GARE D'ARCUEIL CACHAN,Cachan,48.7986051,2.3281001
GARE DE ST DENIS,Saint-Denis,48.935061,2.3454394
JONCHEROLLES,Pierrefitte-sur-Seine,48.9556135,2.3583492
VILLETANEUSE-UNIVERSITE,Villetaneuse,48.9591288,2.3419336
GARE DE ROISSY EN BRIE,Roissy-en-Brie,48.7956548,2.6503626
Parc des Chanteraines,Gennevilliers,48.9339222,2.3132449
ALCIDE D'ORBIGNY,Pierrefitte-sur-Seine,48.9658507,2.3636194
Pavé Blanc,Clamart,48.780813,2.2400852
CAROLINE AIGLE (ORLYFRET),Orly,48.7385708,2.3698978
GARE DU VAL D'OR,Saint-Cloud,48.8567128,2.2165482
ESCADRILLE NORMANDIE - NIEMEN,Bobigny,48.9126667,2.4353885
LA COURNEUVE HOTEL DE VILLE,La Courneuve,48.9273439,2.3925113
Maurice Lachâtre,Drancy,48.9191701,2.4137942
TIMBAUD,Gennevilliers,48.9327702,2.3012942
BUTTE DU CHAPEAU ROUGE,Paris,48.8850451,2.3967465
Hôpital Béclère,Clamart,48.7867646,2.2546073
GARE DE VILLIERS SUR MARNE PLESSIS TREVISE,Villiers-sur-Marne,48.8232512,2.542552
Porte des Lilas,Paris,48.8771276,2.4066804
ROUGEMONT CHANTELOUP,Sevran,48.9308682,2.5152436
L'ONDE,Vélizy-Villacoublay,48.782059,2.1800868
MARCHE DE ST DENIS,Saint-Denis,48.9385745,2.3558735
